# Метеостанция Тырныауз, Россия, WMO_ID=37206, выборка с 20.11.2013 по 31.12.2021, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=37206&lang=ru
#
"Местное время в Тырныаузе";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.10.2019 12:00";"22.3";"657.9";"";"";"17";"Ветер, дующий с северо-востока";"1";"";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.0";"";"";"";"";"";"";
"15.10.2019 09:00";"11.9";"658.8";"";"";"30";"Ветер, дующий с юга";"6";"10";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"15.10.2019 06:00";"12.3";"658.6";"";"";"29";"Ветер, дующий с юга";"6";"";"11";"";" ";"";"";"10.5";"";"";"";"";"";"";"";"-5.2";"Осадков нет";"12";"";"";"";"";
"15.10.2019 03:00";"12.3";"658.9";"";"";"34";"Ветер, дующий с юга";"6";"10";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.4";"";"";"";"";"";"";
"15.10.2019 00:00";"12.1";"659.7";"";"";"38";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.8";"";"";"";"";"";"";
"14.10.2019 21:00";"12.7";"660.4";"";"";"39";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"";"";"";"";"";"";
"14.10.2019 18:00";"13.2";"660.4";"";"";"48";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"21.3";"";"";"";"";"";"";"2.2";"Осадков нет";"12";"";"";"";"";
"14.10.2019 15:00";"20.7";"659.8";"";"";"25";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.1";"";"";"";"";"";"";
"14.10.2019 12:00";"20.8";"660.1";"";"";"20";"Ветер, дующий с севера";"2";"";"11";"";" ";"";"";"";"";"";"";"";"";"";"";"-3.3";"";"";"";"";"";"";
"14.10.2019 09:00";"10.4";"661.2";"";"";"35";"Ветер, дующий с юга";"8";"11";"12";"";" ";"";"";"";"";"";"";"";"";"";"";"-4.4";"";"";"";"";"";"";
"14.10.2019 06:00";"9.0";"661.3";"";"";"41";"Ветер, дующий с юга";"6";"";"10";"";" ";"";"";"7.6";"";"";"";"";"";"";"";"-3.8";"Осадков нет";"12";"";"";"";"";
"14.10.2019 03:00";"7.8";"661.2";"";"";"50";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"14.10.2019 00:00";"9.5";"661.3";"";"";"43";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.6";"";"";"";"";"";"";
"13.10.2019 21:00";"10.8";"661.4";"";"";"41";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.1";"";"";"";"";"";"";
"13.10.2019 18:00";"9.5";"661.3";"";"";"62";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"17.9";"";"";"";"";"";"";"2.5";"Осадков нет";"12";"";"";"";"";
"13.10.2019 15:00";"17.3";"660.5";"";"";"29";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-1.1";"";"";"";"";"";"";
"13.10.2019 12:00";"16.2";"660.7";"";"";"18";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.0";"";"";"";"";"";"";
"13.10.2019 09:00";"4.6";"661.5";"";"";"49";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"1.5";"";"";"";"";"";"";"";"-5.3";"";"";"";"";"";"";
"13.10.2019 06:00";"2.5";"661.3";"";"";"63";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"2.8";"";"";"";"";"";"";"";"-3.9";"Осадков нет";"12";"";"";"";"";
"13.10.2019 03:00";"4.5";"660.7";"";"";"59";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.9";"";"";"";"";"";"";
"13.10.2019 00:00";"4.8";"660.9";"";"";"79";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.4";"";"";"";"";"";"";
"12.10.2019 21:00";"3.2";"661.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"12.10.2019 18:00";"6.9";"660.8";"";"";"76";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"9.3";"";"";"";"";"";"";"3.0";"0.3";"12";"";"";"";"";
"12.10.2019 15:00";"7.8";"659.9";"";"";"79";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"12.10.2019 12:00";"7.3";"658.5";"";"";"86";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"12.10.2019 09:00";"8.9";"657.2";"";"";"94";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.9";"";"";"";"";"";"";
"12.10.2019 06:00";"9.2";"656.4";"";"";"94";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"8.3";"";"";"";"";"";"";"";"8.3";"Осадков нет";"12";"";"";"";"";
"12.10.2019 03:00";"8.8";"655.3";"";"";"92";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"12.10.2019 00:00";"9.1";"655.0";"";"";"89";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"11.10.2019 21:00";"8.8";"655.0";"";"";"89";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"11.10.2019 18:00";"12.6";"655.3";"";"";"70";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"19.7";"";"";"";"";"";"";"7.3";"Осадков нет";"12";"";"";"";"";
"11.10.2019 15:00";"17.8";"654.1";"";"";"45";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"11.10.2019 12:00";"17.1";"654.4";"";"";"34";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.1";"";"";"";"";"";"";
"11.10.2019 09:00";"9.3";"655.9";"";"";"67";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"11.10.2019 06:00";"7.8";"655.7";"";"";"75";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"6.5";"";"";"";"";"";"";"";"3.6";"Осадков нет";"12";"";"";"";"";
"11.10.2019 03:00";"8.3";"654.7";"";"";"76";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"11.10.2019 00:00";"8.3";"654.7";"";"";"77";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"10.10.2019 21:00";"8.8";"655.2";"";"";"86";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.6";"";"";"";"";"";"";
"10.10.2019 18:00";"10.0";"655.6";"";"";"88";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"19.4";"";"";"";"";"";"";"8.0";"Осадков нет";"12";"";"";"";"";
"10.10.2019 15:00";"18.1";"655.7";"";"";"49";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"10.10.2019 12:00";"17.0";"656.5";"";"";"38";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.4";"";"";"";"";"";"";
"10.10.2019 09:00";"5.0";"658.1";"";"";"78";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"3.1";"";"";"";"";"";"";"";"1.5";"";"";"";"";"";"";
"10.10.2019 06:00";"3.1";"658.4";"";"";"92";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"3.3";"";"";"";"";"";"";"";"1.9";"Осадков нет";"12";"";"";"";"";
"10.10.2019 03:00";"4.8";"658.4";"";"";"91";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"10.10.2019 00:00";"5.3";"658.6";"";"";"97";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"09.10.2019 21:00";"6.6";"658.9";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"09.10.2019 18:00";"7.8";"658.9";"";"";"93";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"12.3";"";"";"";"";"";"";"6.8";"7.0";"12";"";"";"";"";
"09.10.2019 15:00";"7.7";"658.0";"";"";"95";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"09.10.2019 12:00";"11.0";"657.3";"";"";"80";"Ветер, дующий с северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.7";"";"";"";"";"";"";
"09.10.2019 09:00";"8.2";"657.3";"";"";"95";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"6.0";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"09.10.2019 06:00";"7.0";"657.1";"";"";"87";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"7.4";"";"";"";"";"";"";"";"5.0";"0.8";"12";"";"";"";"";
"09.10.2019 03:00";"8.2";"655.2";"";"";"91";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.8";"";"";"";"";"";"";
"09.10.2019 00:00";"9.1";"654.5";"";"";"72";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.2";"";"";"";"";"";"";
"08.10.2019 21:00";"8.8";"654.6";"";"";"76";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"08.10.2019 18:00";"10.9";"655.5";"";"";"65";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"15.9";"";"";"";"";"";"";"4.5";"Осадков нет";"12";"";"";"";"";
"08.10.2019 15:00";"14.7";"655.0";"";"";"61";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"08.10.2019 12:00";"13.6";"655.0";"";"";"60";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"08.10.2019 09:00";"6.7";"655.0";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.9";"";"";"";"";"";"";
"08.10.2019 06:00";"5.8";"653.2";"";"";"86";"Ветер, дующий с юго-юго-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.6";"Осадков нет";"12";"";"";"";"";
"08.10.2019 03:00";"4.9";"654.1";"";"";"93";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.9";"";"";"";"";"";"";
"08.10.2019 00:00";"5.7";"653.7";"";"";"93";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"07.10.2019 21:00";"6.1";"654.1";"";"";"93";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.1";"";"";"";"";"";"";
"07.10.2019 18:00";"6.4";"654.0";"";"";"93";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"9.9";"";"";"";"";"";"";"5.3";"Осадков нет";"12";"";"";"";"";
"07.10.2019 15:00";"8.5";"653.2";"";"";"84";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"07.10.2019 12:00";"9.7";"651.7";"";"";"76";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.6";"";"";"";"";"";"";
"07.10.2019 09:00";"7.7";"650.7";"";"";"95";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"7.3";"";"";"";"";"";"";"";"6.9";"";"";"";"";"";"";
"07.10.2019 06:00";"7.8";"648.6";"";"";"96";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"7.9";"";"";"";"";"";"";"";"7.2";"4.0";"12";"";"";"";"";
"07.10.2019 03:00";"8.6";"646.6";"";"";"92";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"07.10.2019 00:00";"11.3";"645.7";"";"";"71";"Ветер, дующий с юго-юго-запада";"1";"";"14";"";" ";"";"";"";"";"";"";"";"";"";"";"6.2";"";"";"";"";"";"";
"06.10.2019 21:00";"12.0";"645.6";"";"";"84";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"06.10.2019 18:00";"15.2";"645.7";"";"";"59";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"19.8";"";"";"";"";"";"";"7.2";"Осадков нет";"12";"";"";"";"";
"06.10.2019 15:00";"18.3";"645.4";"";"";"49";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.4";"";"";"";"";"";"";
"06.10.2019 12:00";"18.4";"646.7";"";"";"40";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.5";"";"";"";"";"";"";
"06.10.2019 09:00";"13.5";"648.1";"";"";"56";"Штиль, безветрие";"0";"";"";"";" ";"";"";"7.7";"";"";"";"";"";"";"";"4.7";"";"";"";"";"";"";
"06.10.2019 06:00";"8.2";"648.4";"";"";"71";"Штиль, безветрие";"0";"";"";"";" ";"";"";"8.5";"";"";"";"";"";"";"";"3.1";"Осадков нет";"12";"";"";"";"";
"06.10.2019 03:00";"10.8";"648.3";"";"";"65";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"06.10.2019 00:00";"10.4";"648.4";"";"";"70";"Ветер, дующий с юго-юго-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.2";"";"";"";"";"";"";
"05.10.2019 21:00";"12.6";"649.3";"";"";"63";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.7";"";"";"";"";"";"";
"05.10.2019 18:00";"17.1";"648.8";"";"";"45";"Ветер, дующий с северо-востока";"1";"";"";"";" ";"";"";"";"25.2";"";"";"";"";"";"";"5.1";"Осадков нет";"12";"";"";"";"";
"05.10.2019 15:00";"24.0";"648.1";"";"";"26";"Ветер, дующий с западо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"05.10.2019 12:00";"23.0";"650.1";"";"";"21";"Ветер, дующий с востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-0.7";"";"";"";"";"";"";
"05.10.2019 09:00";"12.2";"652.4";"";"";"40";"Ветер, дующий с юга";"6";"";"11";"";" ";"";"";"11.2";"";"";"";"";"";"";"";"-1.1";"";"";"";"";"";"";
"05.10.2019 06:00";"11.9";"653.1";"";"";"49";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"11.3";"";"";"";"";"";"";"";"1.4";"Осадков нет";"12";"";"";"";"";
"05.10.2019 03:00";"13.0";"653.4";"";"";"52";"Ветер, дующий с юго-юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"05.10.2019 00:00";"13.4";"654.1";"";"";"55";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"04.10.2019 21:00";"13.9";"654.8";"";"";"56";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.3";"";"";"";"";"";"";
"04.10.2019 18:00";"14.1";"654.5";"";"";"63";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"22.5";"";"";"";"";"";"";"7.0";"Осадков нет";"12";"";"";"";"";
"04.10.2019 15:00";"21.7";"653.9";"";"";"30";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.3";"";"";"";"";"";"";
"04.10.2019 12:00";"21.2";"653.8";"";"";"31";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.5";"";"";"";"";"";"";
"04.10.2019 09:00";"14.3";"654.5";"";"";"51";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"04.10.2019 06:00";"12.7";"653.7";"";"";"55";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"11.5";"";"";"";"";"";"";"";"3.7";"Осадков нет";"12";"";"";"";"";
"04.10.2019 03:00";"13.7";"652.9";"";"";"48";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"04.10.2019 00:00";"13.7";"652.9";"";"";"48";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"03.10.2019 21:00";"14.4";"653.0";"";"";"57";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"03.10.2019 18:00";"15.7";"652.7";"";"";"71";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"23.8";"";"";"";"";"";"";"10.4";"Осадков нет";"12";"";"";"";"";
"03.10.2019 15:00";"22.3";"652.2";"";"";"42";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.8";"";"";"";"";"";"";
"03.10.2019 12:00";"23.5";"652.0";"";"";"17";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-2.6";"";"";"";"";"";"";
"03.10.2019 09:00";"12.8";"653.2";"";"";"29";"Ветер, дующий с юга";"6";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-5.0";"";"";"";"";"";"";
"03.10.2019 06:00";"6.7";"653.7";"";"";"71";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"5.0";"";"";"";"";"";"";"";"1.7";"Осадков нет";"12";"";"";"";"";
"03.10.2019 03:00";"5.1";"654.1";"";"";"91";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.7";"";"";"";"";"";"";
"03.10.2019 00:00";"7.4";"654.2";"";"";"90";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"02.10.2019 21:00";"8.7";"655.3";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.6";"";"";"";"";"";"";
"02.10.2019 18:00";"14.4";"655.3";"";"";"68";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"21.0";"";"";"";"";"";"";"8.6";"Осадков нет";"12";"";"";"";"";
"02.10.2019 15:00";"19.7";"655.0";"";"";"41";"Ветер, дующий с северо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.9";"";"";"";"";"";"";
"02.10.2019 12:00";"20.0";"655.0";"";"";"33";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.0";"";"";"";"";"";"";
"02.10.2019 09:00";"9.1";"655.6";"";"";"56";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"0.7";"";"";"";"";"";"";
"02.10.2019 06:00";"8.0";"655.6";"";"";"61";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"7.0";"";"";"";"";"";"";"";"0.8";"Осадков нет";"12";"";"";"";"";
"02.10.2019 03:00";"8.3";"655.1";"";"";"65";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.1";"";"";"";"";"";"";
"02.10.2019 00:00";"8.1";"654.5";"";"";"78";"Ветер, дующий с юга";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"01.10.2019 21:00";"10.4";"654.0";"";"";"69";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"01.10.2019 18:00";"14.7";"652.6";"";"";"51";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"21.0";"";"";"";"";"";"";"4.6";"Осадков нет";"12";"";"";"";"";
"01.10.2019 15:00";"20.2";"651.2";"";"";"32";"Ветер, дующий с северо-северо-запада";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.9";"";"";"";"";"";"";
"01.10.2019 12:00";"18.5";"651.3";"";"";"33";"Ветер, дующий с востока";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.9";"";"";"";"";"";"";
"01.10.2019 09:00";"6.5";"651.7";"";"";"70";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"";"";
"01.10.2019 06:00";"3.1";"652.2";"";"";"93";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"3.0";"";"";"";"";"";"";"";"2.1";"Осадков нет";"12";"";"";"";"";
"01.10.2019 03:00";"5.1";"651.7";"";"";"87";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"3.1";"";"";"";"";"";"";
"01.10.2019 00:00";"6.7";"652.2";"";"";"88";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.8";"";"";"";"";"";"";
"30.09.2019 21:00";"7.9";"653.3";"";"";"90";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"6.3";"";"";"";"";"";"";
"30.09.2019 18:00";"12.4";"653.3";"";"";"68";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"18.3";"";"";"";"";"";"";"6.7";"Осадков нет";"12";"";"";"";"";
"30.09.2019 15:00";"17.8";"653.2";"";"";"43";"Ветер, дующий с севера";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.0";"";"";"";"";"";"";
"30.09.2019 12:00";"16.4";"653.8";"";"";"40";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"2.8";"";"";"";"";"";"";
"30.09.2019 09:00";"7.3";"654.5";"";"";"72";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"5.3";"";"";"";"";"";"";"";"2.5";"";"";"";"";"";"";
"30.09.2019 06:00";"5.7";"654.5";"";"";"81";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"5.6";"";"";"";"";"";"";"";"2.6";"Осадков нет";"12";"";"";"";"";
"30.09.2019 03:00";"6.1";"654.3";"";"";"88";"Ветер, дующий с юго-юго-востока";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.3";"";"";"";"";"";"";
"30.09.2019 00:00";"6.8";"654.0";"";"";"93";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"5.8";"";"";"";"";"";"";
"29.09.2019 21:00";"9.4";"654.1";"";"";"87";"Ветер, дующий с северо-северо-запада";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"29.09.2019 18:00";"10.7";"654.1";"";"";"79";"Ветер, дующий с северо-северо-запада";"3";"";"";"";" ";"";"";"";"15.9";"";"";"";"";"";"";"7.2";"Осадков нет";"12";"";"";"";"";
"29.09.2019 15:00";"14.4";"653.6";"";"";"62";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.1";"";"";"";"";"";"";
"29.09.2019 12:00";"15.7";"653.8";"";"";"47";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"4.4";"";"";"";"";"";"";
"29.09.2019 09:00";"6.5";"655.0";"";"";"81";"Ветер, дующий с юго-юго-востока";"2";"";"";"";" ";"";"";"6.3";"";"";"";"";"";"";"";"3.4";"";"";"";"";"";"";
"29.09.2019 06:00";"8.0";"654.9";"";"";"79";"Ветер, дующий с юга";"2";"";"";"";" ";"";"";"8.1";"";"";"";"";"";"";"";"4.6";"Осадков нет";"12";"";"";"";"";
"29.09.2019 03:00";"8.3";"655.1";"";"";"95";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"";
"29.09.2019 00:00";"8.5";"655.5";"";"";"92";"Ветер, дующий с северо-северо-запада";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.3";"";"";"";"";"";"";
"28.09.2019 21:00";"9.5";"655.3";"";"";"91";"Ветер, дующий с севера";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.1";"";"";"";"";"";"";
"28.09.2019 18:00";"11.6";"654.1";"";"";"83";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"16.3";"";"";"";"";"";"";"8.8";"0.3";"12";"";"";"";"";
"28.09.2019 15:00";"14.0";"652.7";"";"";"74";"Ветер, дующий с севера";"3";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.4";"";"";"";"";"";"";
"28.09.2019 12:00";"13.8";"652.3";"";"";"74";"Ветер, дующий с севера";"2";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.3";"";"";"";"";"";"";
"28.09.2019 09:00";"11.3";"651.5";"";"";"85";"Ветер, дующий с юга";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"8.9";"";"";"";"";"";"";
"28.09.2019 06:00";"11.5";"651.4";"";"";"71";"Ветер, дующий с юго-юго-востока";"4";"";"11";"";" ";"";"";"8.9";"";"";"";"";"";"";"";"6.4";"2.0";"12";"";"";"";"";
"28.09.2019 00:00";"10.1";"651.4";"";"";"86";"Ветер, дующий с юга";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"7.8";"";"";"";"";"";"";
"27.09.2019 21:00";"10.7";"653.2";"";"";"89";"Ветер, дующий с северо-северо-востока";"1";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"9.0";"";"";"";"";"";"";
